source,target,weight,source_name,target_name,edge_type
Cap.345,Cap.330,6,Financial Markets Act,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.345,Cap.364,1,Financial Markets Act,Duty on Documents and Transfers Act,CROSS_REFERENCE
Cap.345,Cap.370,4,Financial Markets Act,Investment Services Act,CROSS_REFERENCE
Cap.345,Cap.371,3,Financial Markets Act,Banking Act,CROSS_REFERENCE
Cap.345,Cap.373,1,Financial Markets Act,Prevention of Money Laundering Act,CROSS_REFERENCE
Cap.345,Cap.379,1,Financial Markets Act,Competition Act,CROSS_REFERENCE
Cap.345,Cap.386,1,Financial Markets Act,Companies Act,CROSS_REFERENCE
Cap.350,Cap.12,1,Broadcasting Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.350,Cap.123,1,Broadcasting Act,Income Tax Act,CROSS_REFERENCE
Cap.350,Cap.363,2,Broadcasting Act,Local Government Act,CROSS_REFERENCE
Cap.350,Cap.364,1,Broadcasting Act,Duty on Documents and Transfers Act,CROSS_REFERENCE
Cap.350,Cap.399,4,Broadcasting Act,Electronic Communications (Regulation) Act,CROSS_REFERENCE
Cap.350,Cap.9,2,Broadcasting Act,Criminal Code,CROSS_REFERENCE
Cap.353,Cap.164,1,Civil Aviation (Security) Act,Police Act,CROSS_REFERENCE
Cap.353,Cap.217,2,Civil Aviation (Security) Act,Immigration Act,CROSS_REFERENCE
Cap.353,Cap.276,12,Civil Aviation (Security) Act,Extradition Act,CROSS_REFERENCE
Cap.353,Cap.9,16,Civil Aviation (Security) Act,Criminal Code,CROSS_REFERENCE
Cap.354,Cap.12,2,General Elections Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.354,Cap.249,1,General Elections Act,Interpretation Act,CROSS_REFERENCE
Cap.354,Cap.258,1,General Elections Act,Identity Card and other Identity Documents Act,CROSS_REFERENCE
Cap.354,Cap.363,1,General Elections Act,Local Government Act,CROSS_REFERENCE
Cap.354,Cap.446,2,General Elections Act,Probation Act,CROSS_REFERENCE
Cap.354,Cap.9,2,General Elections Act,Criminal Code,CROSS_REFERENCE
Cap.356,Cap.12,3,Development Planning ActAll subsidiary legislation,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.356,Cap.363,1,Development Planning ActAll subsidiary legislation,Local Government Act,CROSS_REFERENCE
